Collector,Site,Julian,Year,Date,DateCollector,Location,Number,OldNumber,PIT,PITnew,BurrowNo,Burrow Synonym,Lat,Long,Status,EstimatedAge,KnownAge,Sex,AgeSex,ReproSex,Mass,Clmax,Clmid,BridgeWidth,Thickness,Pltotal,Plmid,TotalLength,Concavity,Plasma,UDBA,BloodT,CaptureTime,Nasal,Nail,Pics,BKA,Nares,Eyes,EyeLids,PerioC,Conjunctive,URTDscarring,DateTrapSet,DateTrapSetJG,Comments,Comments2
Guyer,3,36006,1998,30-Jul-98,30-Jul-98,Conecuh National Forest,19,19,,,359,359 = 348 = 19-02 = 496 = 521,31.03963,-86.64312,R,17,,F,F,F,3604,27.2,,20.3,,26.4,,28.0,0,,,,,,,,,,,,,,,,,,more than 17
Guyer,3,35292,1996,15-Aug-96,15-Aug-96,Conecuh National Forest,20,20,,,326,,31.040754,-86.641375,N,17,,M,M,M,2603,24.5,,18.4,,25.0,,25.7,11.5,,,,,,,,,,,,,,,,,,more than 17
Guyer,3,33440,1991,21-Jul-91,21-Jul-91,Conecuh National Forest,21,21,,,139,,31.038748,-86.642756,N,18,,F,F,F,3460,25.8,,18.2,,25.3,,27.1,5,,,,,,,,,,,,,,,,,,
Guyer,3,33440,1991,21-Jul-91,21-Jul-91,Conecuh National Forest,22,22,,,154,,31.038613,-86.642237,N,15,,M,M,M,2256,22.8,,15.7,,23.0,,24.3,7,,,,,,,,,,,,,,,,,,age questioned
Guyer,3,33855,1992,08-Sep-92,08-Sep-92,Conecuh National Forest,22,22,,,134,,31.040553,-86.643125,R,20,,M,M,M,2159,22.7,,17.7,,23.0,,24.2,,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34138,1993,18-Jun-93,18-Jun-93,Conecuh National Forest,22,22,,,144,,31.03729,-86.6428,R,20,,M,M,M,2131,23.0,,17.9,,23.2,,24.5,5,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34220,1993,08-Sep-93,08-Sep-93,Conecuh National Forest,22,22,,,109,,31.038583,-86.642396,R,16,,M,M,M,2048,22.2,,17.7,,22.1,,24.2,,,,,,,,,,,,,,,,,,,
Guyer,3,34411,1994,18-Mar-94,18-Mar-94,Conecuh National Forest,22,22,,,148,523 is synonym for 148,31.037818,-86.642562,R,16,,M,M,M,2251,23.0,,17.8,,23.1,,24.5,,,,,,,,,,,,,,,,,,,age questioned
Guyer,3,35284,1996,07-Aug-96,07-Aug-96,Conecuh National Forest,22,22,,,639,,31.038207,-86.642808,R,17,,M,M,M,2384,23.1,,18.1,,23.3,,24.6,8,,,,,,,,,,,,,,,,,,more than 17
Guyer,3,35293,1996,16-Aug-96,16-Aug-96,Conecuh National Forest,22,22,,,207,143,31.03804,-86.643003,R,,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,3,35305,1996,28-Aug-96,28-Aug-96,Conecuh National Forest,22,22,,,359,359 = 348 = 19-02 = 496 = 521,31.03963,-86.64312,R,,,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,3,35618,1997,07-Jul-97,07-Jul-97,Conecuh National Forest,22,22,,,673,673 = 989,31.03769,-86.64289,R,18,,M,M,M,2313,23.6,,18.2,,23.6,,24.8,7,,,,,,,,,,,,,,,,,,weight converted from 5.1 pounds
Guyer,3,33447,1991,28-Jul-91,28-Jul-91,Conecuh National Forest,23,23,,,121,,31.040607,-86.641622,N,15,,M,M,M,1985,20.9,,15.9,,21.0,,22.2,10,,,,,,,,,,,,,,,,,,age questioned
Guyer,3,33444,1991,25-Jul-91,25-Jul-91,Conecuh National Forest,24,24,,,495,142 = 350 = 495,31.038215,-86.643046,N,3,3,J,J,J,143,8.8,,6.8,,8.6,,9.0,1,,,,,,,,,,,,,,,,,,
Guyer,3,33854,1992,07-Sep-92,07-Sep-92,Conecuh National Forest,24,24,,,503,351,31.038238,-86.64311,R,4,4,J,J,J,217,9.9,,8.3,,10.0,,10.5,,,,,,,,,,,,,,,,,,,
Guyer,3,34139,1993,19-Jun-93,19-Jun-93,Conecuh National Forest,24,24,,,503,351,31.038238,-86.64311,R,5,5,J,J,J,257,10.9,,9.1,,10.7,,11.1,1,,,,,,,,,,,,,,,,,,
Guyer,3,33456,1991,06-Aug-91,06-Aug-91,Conecuh National Forest,28,28,,,236,164 = 236 = nb01,31.03946,-86.64307,N,4,4,J,J,J,134,8.3,,6.6,,8.4,,8.7,1,,,,,,,,,,,,,,,,,,
Guyer,3,33457,1991,07-Aug-91,07-Aug-91,Conecuh National Forest,29,29,,,171,,31.040923,-86.641576,N,19,,F,F,F,2120,24.0,,16.9,,24.4,,25.5,0.4,,,,,,,,,,,,,,,,,,
Guyer,3,33466,1991,16-Aug-91,16-Aug-91,Conecuh National Forest,29,29,,,125,,31.041028,-86.641747,R,,,F,F,F,2499,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,3.1,34156,1993,06-Jul-93,06-Jul-93,Conecuh National Forest,29,29,,,684,318,31.04069,-86.645307,R,20,,F,F,F,2622,24.9,,19.1,,24.6,,25.8,3,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34170,1993,20-Jul-93,20-Jul-93,Conecuh National Forest,29,29,,,128,,31.040979,-86.642832,R,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,lost 3 toenails in trap
Guyer,3,34530,1994,15-Jul-94,15-Jul-94,Conecuh National Forest,29,29,,,128,,31.040979,-86.642832,R,18,,F,F,F,2746,25.0,,18.7,,24.7,,25.9,,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,35621,1997,10-Jul-97,10-Jul-97,Conecuh National Forest,29,29,,,842,842 = 138 = 314,31.03885,-86.64275,R,18,,F,F,F,,25.6,,19.4,,24.8,,25.8,,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,36006,1998,30-Jul-98,30-Jul-98,Conecuh National Forest,29,29,,,315,,31.041172,-86.642772,R,20,,F,F,F,2685,25.3,,18.8,,25.0,,26.3,0,,,,,,,,,,,,,,,,,,
Goessling,3,43626,2019,10-Jun-19,6/10/19,Conecuh National Forest,29,29,43-182751,Y,19.01,NB3-19-01,31.04094,-86.64194,R,old,,F,F,F,3118,26,26,20,10.7,26,23.5,27.3,4,Y,-,210,1518,N,N,JG PHONE,,0,0,0,0,0,NONE,9-Jun-19,6/9/19,,"TWO CLAWS REGROWING ON FRONT RIGHT, MOD DYSKERY PLASTRON; DRILLED AT ""40"""
Guyer,3,33430,1991,11-Jul-91,11-Jul-91,Conecuh National Forest,30,30,,,NA,,NA,NA,N,3,3,F,JF,J,218,10.1,,7.6,,9.9,,10.6,0,,,,,,,,,,,,,,,,,,found grazing
Guyer,3,33855,1992,08-Sep-92,08-Sep-92,Conecuh National Forest,30,30,,,106,,31.038604,-86.642377,R,5,4,F,JF,J,446,12.4,,10.3,,,,13.0,,,,,,,,,,,,,,,,,,,
Guyer,3,34141,1993,21-Jun-93,21-Jun-93,Conecuh National Forest,30,30,,,106,,31.038604,-86.642377,R,5,5,F,JF,J,552,14.2,,11.2,,13.9,,14.8,0,,,,,,,,,,,,,,,,,,
Guyer,3,34502,1994,17-Jun-94,17-Jun-94,Conecuh National Forest,30,30,,,106,,31.038604,-86.642377,R,6,6,F,JF,J,841,16.1,,12.6,,15.9,,16.6,,,,,,,,,,,,,,,,,,,
Guyer,3,34529,1994,14-Jul-94,14-Jul-94,Conecuh National Forest,30,30,,,505,940,31.038407,-86.642527,R,6,6,F,JF,J,928,16.3,,12.7,,16.3,,17.2,,,,,,,,,,,,,,,,,,,also burrow 505
Guyer,3,35283,1996,06-Aug-96,06-Aug-96,Conecuh National Forest,30,30,,,341,,31.03896,-86.64186,R,8,8,F,JF,J,1683,20.5,,15.7,,20.0,,21.2,2,,,,,,,,,,,,,,,,,,
Guyer,3,35618,1997,07-Jul-97,07-Jul-97,Conecuh National Forest,30,30,,,154,342,31.038613,-86.642237,R,8,9,F,JF,J,,21.5,,16.6,,21.1,,21.9,2,,,,,,,,,,,,,,,,,,
Guyer,3,33457,1991,07-Aug-91,07-Aug-91,Conecuh National Forest,31,31,,,237,"173, nb20",31.03961,-86.642728,N,1,1,J,J,J,53,6.1,,4.9,,5.9,,6.3,1,,,,,,,,,,,,,,,,,,
Guyer,3,33467,1991,17-Aug-91,17-Aug-91,Conecuh National Forest,32,32,,,170,,31.040472,-86.641323,N,4,4,J,J,J,115,8.2,,6.3,,7.9,,8.2,0.5,,,,,,,,,,,,,,,,,,
Guyer,3,33854,1992,07-Sep-92,07-Sep-92,Conecuh National Forest,32,32,,,118,,31.040528,-86.641405,R,5,5,J,J,J,176,9.3,,7.9,,9.2,,9.5,,,,,,,,,,,,,,,,,,,
Guyer,3,34140,1993,20-Jun-93,20-Jun-93,Conecuh National Forest,32,32,,,679,327,31.04057,-86.641355,R,6,6,J,J,J,177,9.7,,7.9,,9.3,,9.9,1,,,,,,,,,,,,,,,,,,
Guyer,3,34515,1994,30-Jun-94,30-Jun-94,Conecuh National Forest,32,32,,,679,327,31.04057,-86.641355,R,6,7,J,J,J,272,10.6,,9.1,,11.0,,11.1,,,,,,,,,,,,,,,,,,,
Guyer,3,33475,1991,25-Aug-91,25-Aug-91,Conecuh National Forest,33,33,,,120,990,31.040488,-86.641568,N,14,,F,JF,J,1642,21.0,,15.7,,21.4,,22.1,3,,,,,,,,,,,,,,,,,,
Guyer,3,33453,1991,03-Aug-91,03-Aug-91,Conecuh National Forest,38,38,,,162,928,31.040125,-86.643053,N,3,3,J,J,J,91,7.5,,5.4,,7.2,,7.6,0,,,,,,,,,,,,,,,,,,
Guyer,3,34143,1993,23-Jun-93,23-Jun-93,Conecuh National Forest,38,38,,,162,928,31.040125,-86.643053,R,5,5,J,J,J,185,9.5,,7.9,,9.2,,9.6,0,,,,,,,,,,,,,,,,,,
Guyer,3,35620,1997,09-Jul-97,09-Jul-97,Conecuh National Forest,40,40,,,639,,31.038207,-86.642808,N,18,,M,M,M,,25.3,,19.3,,26.6,,27.1,7,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,36004,1998,28-Jul-98,28-Jul-98,Conecuh National Forest,40,40,,,148,,31.037818,-86.642562,R,18,,M,M,M,2460,25.3,,19.3,,26.8,,27.1,10,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,36006,1998,30-Jul-98,30-Jul-98,Conecuh National Forest,40,40,,,345,,31.038116,-86.642624,R,16,,M,M,M,2987,25.3,,19.4,,27.0,,27.1,12,,,,,,,,,,,,,,,,,,more than 16
Goessling,3,42207,2015,22-Jul-15,072215,Conecuh National Forest,40,40,,,214,OB06,31.03997,-86.64127,R,old,,M,M,M,3064.8,25.4,,19,10.9,26.9,24.1,27.2,11,Y,N,19:45,M,Y,Y,Y PHONE,72.57240204,1,0,0,0,0,,16-Jul-15,071615,MILD DRIP FROM NARES; GASH OUT OF FIRST REAR RIGHT MARGINAL SCUTE,VERY OLD
Guyer,3,35613,1997,02-Jul-97,02-Jul-97,Conecuh National Forest,50,50,,,516,,31.040487,-86.643152,N,3,3,F,JF,J,304,9.0,,7.1,,9.0,,9.2,,,,,,,,,,,,,,,,,,,
Guyer,3,33440,1991,21-Jul-91,21-Jul-91,Conecuh National Forest,60,60,,,103,,31.038221,-86.642382,N,4,4,F,JF,J,187,9.4,,7.2,,9.5,,9.6,0.5,,,,,,,,,,,,,,,,,,
Guyer,3,33855,1992,08-Sep-92,08-Sep-92,Conecuh National Forest,60,60,,,168.1,524,31.038187,-86.642373,R,5,5,F,JF,J,244,10.6,,8.8,,10.7,,11.1,,,,,,,,,,,,,,,,,,,
Guyer,3,33862,1992,15-Sep-92,15-Sep-92,Conecuh National Forest,60,60,,,103,,31.038221,-86.642382,R,5,5,F,JF,J,249,11.0,,8.8,,10.8,,11.2,,,,,,,,,,,,,,,,,,,
Guyer,3,34139,1993,19-Jun-93,19-Jun-93,Conecuh National Forest,60,60,,,103,,31.038221,-86.642382,R,6,6,F,JF,J,281,11.2,,9,,11.3,,11.5,1,,,,,,,,,,,,,,,,,,
Guyer,3,34502,1994,17-Jun-94,17-Jun-94,Conecuh National Forest,60,60,,,103,,31.038221,-86.642382,R,6,7,F,JF,J,351,11.9,,9.6,,12.0,,12.1,,,,,,,,,,,,,,,,,,,
Guyer,3,35615,1997,04-Jul-97,04-Jul-97,Conecuh National Forest,60,60,,,172,565,31.040215,-86.642192,R,11,10,F,JF,J,,14.8,,12.3,,14.7,,15.2,,,,,,,,,,,,,,,,,,,
Guyer,3,35303,1996,26-Aug-96,26-Aug-96,Conecuh National Forest,100,100,,,639,,31.038207,-86.642808,N,15,,F,F,F,2154,22.8,,17.4,,22.6,,23.7,3,,,,,,,,,,,,,,,,,,
Guyer,3,35614,1997,03-Jul-97,03-Jul-97,Conecuh National Forest,100,100,,,344,,31.038034,-86.642582,R,18,,F,F,F,,23.6,,17.9,,23.3,,23.7,2,,,,,,,,,,,,,,,,,,listed as 16 to 18
Guyer,3,36006,1998,30-Jul-98,30-Jul-98,Conecuh National Forest,100,100,,,639,,31.038207,-86.642808,R,18,,F,F,F,2640,24.9,,19.1,,24.4,,25.7,1,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,33854,1992,07-Sep-92,07-Sep-92,Conecuh National Forest,105,105,,,157,,31.04037,-86.64172,N,4,4,J,J,J,209,9.8,,8.3,,10.8,,10.1,,,,,,,,,,,,,,,,,,,
Guyer,3,34158,1993,08-Jul-93,08-Jul-93,Conecuh National Forest,105,105,,,157,,31.04037,-86.64172,R,7,5,J,J,J,220,10.2,,8.8,,10.4,,10.8,0,,,,,,,,,,,,,,,,,,
Guyer,3,34514,1994,29-Jun-94,29-Jun-94,Conecuh National Forest,105,105,,,117,,31.040262,-86.641277,R,6,6,J,J,J,290,10.6,,9.3,,11.1,,11.4,,,,,,,,,,,,,,,,,,,
Guyer,3,33855,1992,08-Sep-92,08-Sep-92,Conecuh National Forest,107,107,,,905,"518, 848, 771",31.038995,-86.642212,N,3,3,J,J,J,161,8.9,,7.6,,8.8,,9.4,,,,,,,,,,,,,,,,,,,
Guyer,3,34524,1994,09-Jul-94,09-Jul-94,Conecuh National Forest,107,107,,,905,"518, 848, 771",31.038995,-86.642212,R,5,5,J,J,J,347,11.9,,9.5,,11.8,,12.2,,,,,,,,,,,,,,,,,,,
Guyer,3,35305,1996,28-Aug-96,28-Aug-96,Conecuh National Forest,107,107,,,528,493,31.038598,-86.642488,R,7,7,J,J,J,818,16.2,,12.9,,15.9,,16.6,2,,,,,,,,,,,,,,,,,,
Guyer,3,35305,1996,28-Aug-96,28-Aug-96,Conecuh National Forest,107,107,,,154,342,31.038613,-86.642237,R,,7,J,J,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyer,3,33856,1992,09-Sep-92,09-Sep-92,Conecuh National Forest,108,108,,,119,,31.040579,-86.641526,N,15,,M,M,M,2750,22.3,,18.8,,22.9,,24.3,,,,,,,,,,,,,,,,,,,more than 15
Guyer,3,34157,1993,07-Jul-93,07-Jul-93,Conecuh National Forest,108,108,,,128,,31.040979,-86.642832,R,20,,M,M,M,2546,22.8,,19,,23.1,,24.6,9,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34525,1994,10-Jul-94,10-Jul-94,Conecuh National Forest,108,108,,,121,,31.040607,-86.641622,R,,,M,M,M,2418,22.6,,18.8,,23.0,,24.5,,,,,,,,,,,,,,,,,,,
Guyer,3,35307,1996,30-Aug-96,30-Aug-96,Conecuh National Forest,108,108,,,132,670,31.040816,-86.643025,R,20,,M,M,M,4928,23.0,,19,,23.0,,24.5,10,,,,,,,,,,,,,,,,,,more than 20; weigth looks too high
Guyer,3,35626,1997,15-Jul-97,15-Jul-97,Conecuh National Forest,108,108,,,158,,31.040356,-86.642051,R,18,,M,M,M,,23.0,,,,23.0,,24.5,8,,,,,,,,,,,,,,,,,,more than 18
Goessling,3,42208,2015,23-Jul-15,072315,Conecuh National Forest,108,108,,,237,"173, nb20",31.03961,-86.642728,R,old,,M,M,M,2791.6,23.4,,191,106,22.9,21.4,24.7,11,Y,N,483,M,Y,Y,Y PHONE,76.66098807,0,0,0,0,0,MOD EROSION BOTH NARES,20-Jul-15,072015,,
Goessling,3,42956,2017,9-Aug-17,8092017,Conecuh National Forest,108,108,,,17.04,3-17-04,31.04011,-86.64252,R,old,,M,M,M,2801,23.4,,193,103,22.8,21.4,24.8,10,Y,UDB,60,10:45,N,N,1976-1980,51.5,0,0,0,0,0,MOD EROSION BOTH,5-Aug-17,8052017,STRESSED IN TRAP,
Goessling,3,43631,2019,15-Jun-19,6/15/19,Conecuh National Forest,108,108,,,340,,31.03998,-86.64270,R,old,,M,M,M,2648,23.5,23.3,19.2,10.5,23,21.3,24.6,7,Y,UDB,150,1035,N,N,JG PHONE,,0,0,0,0,0,NONE,9-Jun-19,6/9/19,,"STRESSED IN TRAP, OVERNIGHT? 3 CLAWS BROKEN FRONT LEFT AND RIGHT. MILD DYSKER. NOT PIT TAGGED BECAUSE OF STRESS. FILED AND DRILLED; DRILLED AT ""10"" AND ""30"""
Guyer,3,33856,1992,09-Sep-92,09-Sep-92,Conecuh National Forest,109,109,,,172,,31.040215,-86.642192,N,9,9,F,JF,J,469,13.0,,17,,13.1,,13.6,,,,,,,,,,,,,,,,,,,
Guyer,3,34143,1993,23-Jun-93,23-Jun-93,Conecuh National Forest,109,109,,,161,,31.04029,-86.642361,R,10,10,F,JF,J,541,13.8,,11.3,,13.7,,14.3,1,,,,,,,,,,,,,,,,,,
Guyer,3,33862,1992,15-Sep-92,15-Sep-92,Conecuh National Forest,111,111,,,345,,31.038116,-86.642624,N,14,,F,F,F,2551,23.1,,18.4,,23.4,,24.9,,,,,,,,,,,,,,,,,,,
Guyer,3,34146,1993,26-Jun-93,26-Jun-93,Conecuh National Forest,111,111,,,345,,31.038116,-86.642624,R,17,,F,F,F,2689,24.4,,18.6,,23.9,,25.4,4,,,,,,,,,,,,,,,,,,more than 17
Guyer,3,34513,1994,28-Jun-94,28-Jun-94,Conecuh National Forest,111,111,,,144,,31.03729,-86.6428,R,16,,F,F,F,2987,24.5,,18.8,,24.3,,26.0,,,,,,,,,,,,,,,,,,,
Guyer,3,35616,1997,05-Jul-97,05-Jul-97,Conecuh National Forest,111,111,,,140,,31.038304,-86.643352,R,19,,F,F,F,,26.5,,20.4,,25.9,,27.5,3,,,,,,,,,,,,,,,,,,age is approximate
Guyer,3,36004,1998,28-Jul-98,28-Jul-98,Conecuh National Forest,111,111,,,140,,31.038304,-86.643352,R,19,,F,F,F,3487,26.5,,20.5,,26.2,,27.8,3.5,,,,,,,,,,,,,,,,,,age 18 or 19
Guyer,3,34506,1994,21-Jun-94,21-Jun-94,Conecuh National Forest,113,113,,,345,,31.038116,-86.642624,N,,,M,M,M,2805,25.1,,20.2,,25.2,,26.5,,,,,,,,,,,,,,,,,,,too worn
Guyer,3,33856,1992,09-Sep-92,09-Sep-92,Conecuh National Forest,121.1,121,,,158,,31.040356,-86.642051,N,23,,M,M,M,2628,23.6,,18.5,,23.2,,24.5,7,,,,,,,,,,,,,,,,,,age 21-23
Guyer,3,34156,1993,06-Jul-93,06-Jul-93,Conecuh National Forest,121.1,121,,,49,,31.038304,-86.643352,R,24,,M,M,M,2645,23.6,,18.5,,23.2,,24.5,5,,,,,,,,,,,,,,,,,,more than 24
Guyer,3,34516,1994,01-Jul-94,01-Jul-94,Conecuh National Forest,121.1,121,,,141,,31.038341,-86.642996,R,25,,M,M,M,2731,22.7,,18.5,,23.2,,24.3,,,,,,,,,,,,,,,,,,,more than 25
Guyer,3,34529,1994,14-Jul-94,14-Jul-94,Conecuh National Forest,121.1,121,,,140,,31.038304,-86.643352,R,18,,M,M,M,2841,25.0,,20.2,,25.8,,26.4,,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,36003,1998,27-Jul-98,27-Jul-98,Conecuh National Forest,121.1,121,,,141,,31.038341,-86.642996,R,18,,M,M,M,2912,25.6,,20.5,,25.7,,27.0,3,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,33439,1991,20-Jul-91,20-Jul-91,Conecuh National Forest,121.2,121,,,148,,31.037818,-86.642562,N,24,,M,M,M,2887,24.9,,18.3,,25.1,,26.4,6.1,,,,,,,,,,,,,,,,,,
Guyer,3,33854,1992,07-Sep-92,07-Sep-92,Conecuh National Forest,121.2,121,,,144,,31.03729,-86.6428,R,20,,M,M,M,2846,24.0,,20,,24.5,,26.2,,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34140,1993,20-Jun-93,20-Jun-93,Conecuh National Forest,121.2,121,,,148,,31.037818,-86.642562,R,20,,M,M,M,2736,25.1,,20.1,,25.2,,26.5,6,,,,,,,,,,,,,,,,,,more than 20; burrow 523
Guyer,3,35622,1997,11-Jul-97,11-Jul-97,Conecuh National Forest,121.2,121,,,141,,31.038341,-86.642996,R,18,,M,M,M,,25.6,,20.5,,25.8,,26.7,5,,,,,,,,,,,,,,,,,,more than 18; burrow 639
Guyer,3,34141,1993,21-Jun-93,21-Jun-93,Conecuh National Forest,122,122,,,326,,31.040754,-86.641375,N,5,5,J,J,J,143,9.4,,7.4,,9.0,,9.5,,,,,,,,,,,,,,,,,,,
Guyer,3,34501,1994,16-Jun-94,16-Jun-94,Conecuh National Forest,122,122,,,NA,,NA,NA,R,6,6,J,J,J,215,10.6,,8.2,,10.2,,10.7,,,,,,,,,,,,,,,,,,,out of burrow
Guyer,3,34512,1994,27-Jun-94,27-Jun-94,Conecuh National Forest,122,122,,,326,,31.040754,-86.641375,R,6,6,J,J,J,224,10.7,,8.2,,10.3,,10.9,,,,,,,,,,,,,,,,,,,
Guyer,3,34142,1993,22-Jun-93,22-Jun-93,Conecuh National Forest,123,123,,,661,,31.040175,-86.642942,N,3,3,J,J,J,96,7.8,,6.4,,7.6,,8.0,,,,,,,,,,,,,,,,,,,
Guyer,3,34150,1993,30-Jun-93,30-Jun-93,Conecuh National Forest,124,124,,,673,989,31.03769,-86.64289,N,8,8,F,JF,J,331,11.6,,9.5,,12.0,,12.1,0,,,,,,,,,,,,,,,,,,
Guyer,3,34511,1994,26-Jun-94,26-Jun-94,Conecuh National Forest,124,124,,,673,989,31.03769,-86.64289,R,9,9,F,JF,J,463,12.5,,10.5,,13.4,,13.7,,,,,,,,,,,,,,,,,,,
Guyer,3,36005,1998,29-Jul-98,29-Jul-98,Conecuh National Forest,124,124,,,711,,31.038061,-86.642859,R,13,13,F,JF,J,1131,17.5,,14,,18.4,,18.8,1,,,,,,,,,,,,,,,,,,
Guyer,3,34152,1993,02-Jul-93,02-Jul-93,Conecuh National Forest,126,126,,,636,330,31.040414,-86.641072,N,5,5,J,J,J,174,9.6,,7.7,,9.3,,9.8,0.5,,,,,,,,,,,,,,,,,,
Guyer,3.1,34156,1993,06-Jul-93,06-Jul-93,Conecuh National Forest,128,128,,,662,320,31.040403,-86.646138,N,13,,M,M,J,1151,17.7,,14.2,,17.8,,18.5,3,,,,,,,,,,,,,,,,,,
Guyer,3,34170,1993,20-Jul-93,20-Jul-93,Conecuh National Forest,129,129,,,686,,31.038291,-86.643054,N,1,1,J,J,J,48,5.8,,5.1,,5.6,,6.0,,,,,,,,,,,,,,,,,,,
Guyer,3,34503,1994,18-Jun-94,18-Jun-94,Conecuh National Forest,129,129,,,923,,31.038206,-86.643035,R,2,2,J,J,J,63,6.6,,5.4,,6.3,,7.0,,,,,,,,,,,,,,,,,,,
Guyer,3,34170,1993,20-Jul-93,20-Jul-93,Conecuh National Forest,131,131,,,680,,31.041185,-86.642435,N,3,3,J,J,J,126,8.5,,7,,8.2,,8.6,,,,,,,,,,,,,,,,,,,
Guyer,3,34512,1994,27-Jun-94,27-Jun-94,Conecuh National Forest,131,131,,,680,,31.041185,-86.642435,R,4,4,J,J,J,174,9.3,,7.7,,9.2,,9.7,,,,,,,,,,,,,,,,,,,
Guyer,3.1,34171,1993,21-Jul-93,21-Jul-93,Conecuh National Forest,132,132,,,684,318,31.04069,-86.645307,N,15,,M,M,M,1757,21.6,,16.3,,22.4,,22.9,7,,,,,,,,,,,,,,,,,,
Guyer,3,35297,1996,20-Aug-96,20-Aug-96,Conecuh National Forest,132,132,,,599,,31.04085,-86.641603,R,14,,M,M,M,2027,21.8,,16.5,,22.6,,23.4,9,,,,,,,,,,,,,,,,,,more than 14
Guyer,3,35620,1997,09-Jul-97,09-Jul-97,Conecuh National Forest,132,132,,,513,,31.040835,-86.641403,R,15,,M,M,M,,,,16.5,,22.8,,23.4,15,,,,,,,,,,,,,,,,,,
Guyer,3,36007,1998,31-Jul-98,31-Jul-98,Conecuh National Forest,132,132,,,150,753,31.040946,-86.643019,R,16,,M,M,M,2059,22.1,,16.7,,22.9,,23.7,9,,,,,,,,,,,,,,,,,,
Guyer,3,34521,1994,06-Jul-94,06-Jul-94,Conecuh National Forest,201,201,,,119,,31.040579,-86.641526,N,20,,F,F,F,2923,25.4,,19.6,,25.2,,26.6,,,,,,,,,,,,,,,,,,,more than 20
Guyer,3,34529,1994,14-Jul-94,14-Jul-94,Conecuh National Forest,203,203,,,120,990,31.040488,-86.641568,N,18,,M,M,M,2673,24.3,,18.5,,23.7,,25.2,,,,,,,,,,,,,,,,,,,more than 18
Guyer,3,34529,1994,14-Jul-94,14-Jul-94,Conecuh National Forest,203,203,,,158,,31.040356,-86.642051,R,18,,M,M,M,2673,24.3,,18.5,,23.7,,25.2,,,,,,,,,,,,,,,,,,,more than 18
Goessling,3,42201,2015,16-Jul-15,071615,Conecuh National Forest,240,240,,,236,,31.03946,-86.64307,N,6,6,J,J,J,300,11.4,,90,53,11.4,10.6,11.6,0,Y,N,90,A,Y,Y,Y PHONE,49.57410562,2,0,0,0,0,MODERATE,16-Jul-15,071615,SUBCAR. BLOOD,
Goessling,3,42954,2017,7-Aug-17,8072017,Conecuh National Forest,240,240,,,236,,31.03946,-86.64307,R,8,8,J,J,J,505,13.5,,104,62,13.6,12.4,14.0,0,Y,N,100,MORNING,N,N,1955-1959,27.4,2,1,1,0,0,SEVERE EROSION,5-Aug-17,8052017,,
Goessling,3,42202,2015,17-Jul-15,071715,Conecuh National Forest,241,241,,,246,NB22,31.039791,-86.642094,N,5,5,J,J,J,308.1,11.3,,93,54,11.3,10.5,11.7,0,Y,N,135,A,Y,Y,Y PHONE,26.2350937,2,0,1,0,2,SEVERELY ERODED,16-Jul-15,071615,,
Goessling,3,42954,2017,7-Aug-17,8072017,Conecuh National Forest,241,241,,,17.07,3-17-07,31.03968,-86.6421,R,7,7,J,J,J,647,14.7,,117,65,14.4,13.2,15.0,0,Y,UB,165,10:20,N,N,1937-1942,26,1,1,0,0,0,R UPPER EYELID ERODED AWAY,5-Aug-17,8052017,BUMPED NOSE? IN TRAP OVERNIGHT,J/F
Goessling,3,42202,2015,17-Jul-15,071715,Conecuh National Forest,242,242,,,NB02,,NA,NA,N,6,6,J,J,J,255.2,10.9,,89,49,10.6,10.1,10.1,0,Y,N,70,A,Y,Y,Y PHONE,14.65076661,1,0,0,0,1,MODERATE EROSION,16-Jul-15,071615,CHUNK OF REAR LEFT MARGINALS MISSING,Coordinates missing
Goessling,3,42203,2015,18-Jul-15,071815,Conecuh National Forest,243,243,,,239,"174, nb21",31.03940,-86.64227,N,5,5,J,J,J,240.8,10.8,,87,52,10.6,10,11.0,0,Y,UB,54,,Y,Y,Y PHONE,0,1,0,0,0,0,MILD EROSION BOTH NARES,16-Jul-15,071615,ACTIVE IN TRAP. MILD DRIP FROM R NARIS,
